Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00.4,-0.002826691,-0.009864807,-0.001911163,0,
00:00.4,-0.002792358,-0.009864807,-0.001893997,0,
00:00.4,-0.002752304,-0.009841919,-0.001916885,0,
00:00.4,-0.00274086,-0.009784698,-0.002019882,0,
00:00.4,-0.002820969,-0.009841919,-0.001916885,0,
00:00.4,-0.002872467,-0.009962082,-0.001813889,0,
00:00.4,-0.002866745,-0.009979248,-0.001871109,0,
00:00.4,-0.002832413,-0.009910583,-0.001899719,0,
00:00.4,-0.002809525,-0.009870529,-0.001905441,0,
00:00.4,-0.00279808,-0.009864807,-0.001888275,0,
00:00.4,-0.002809525,-0.009876251,-0.001871109,0,
00:00.4,-0.00279808,-0.009876251,-0.001893997,0,
00:00.4,-0.00279808,-0.009881973,-0.001905441,0,
00:00.4,-0.002780914,-0.009864807,-0.001922607,0,
00:00.4,-0.002746582,-0.009767532,-0.001991272,0,
00:00.4,-0.002780914,-0.009853363,-0.002031326,0,
00:00.4,-0.002843857,-0.009962082,-0.001888275,0,
00:00.4,-0.002838135,-0.009916306,-0.001808167,0,
00:00.4,-0.002838135,-0.009916306,-0.001842499,0,
00:00.4,-0.002815247,-0.009893417,-0.001871109,0,
00:00.4,-0.002809525,-0.009870529,-0.001876831,0,
00:00.4,-0.002803802,-0.009864807,-0.001905441,0,
00:00.5,-0.00279808,-0.009864807,-0.001893997,0,
00:00.5,-0.00279808,-0.009876251,-0.001888275,0,
00:00.5,-0.002803802,-0.009893417,-0.001893997,0,
00:00.5,-0.002803802,-0.009893417,-0.001905441,0,
00:00.5,-0.00279808,-0.009881973,-0.001934052,0,
00:00.5,-0.00276947,-0.009819031,-0.001968384,0,
00:00.5,-0.002763748,-0.009801865,-0.001922607,0,
00:00.5,-0.002803802,-0.009887695,-0.001928329,0,
00:00.5,-0.002809525,-0.009881973,-0.001945496,0,
00:00.5,-0.002792358,-0.009887695,-0.001882553,0,
00:00.5,-0.002838135,-0.009910583,-0.001848221,0,
00:00.5,-0.002809525,-0.009910583,-0.001842499,0,
00:00.5,-0.002809525,-0.009910583,-0.001859665,0,
00:00.5,-0.002809525,-0.009899139,-0.001893997,0,
00:00.5,-0.00279808,-0.009870529,-0.001911163,0,
00:00.5,-0.00274086,-0.009750366,-0.001945496,0,
00:00.5,-0.002815247,-0.009881973,-0.001934052,0,
00:00.5,-0.002838135,-0.009922028,-0.001934052,0,
00:00.5,-0.002820969,-0.009893417,-0.001893997,0,
00:00.5,-0.002815247,-0.009910583,-0.001893997,0,
00:00.5,-0.002815247,-0.009910583,-0.001848221,0,
00:00.5,-0.00279808,-0.009870529,-0.001853943,0,
00:00.5,-0.002763748,-0.009830475,-0.001882553,0,
00:00.5,-0.002792358,-0.009864807,-0.001911163,0,
00:00.5,-0.002838135,-0.009910583,-0.001876831,0,
00:00.6,-0.002820969,-0.009899139,-0.001865387,0,
00:00.6,-0.00279808,-0.009876251,-0.001911163,0,
00:00.6,-0.002780914,-0.009819031,-0.001916885,0,
00:00.6,-0.002792358,-0.009841919,-0.001928329,0,
00:00.6,-0.002792358,-0.009881973,-0.001893997,0,
00:00.6,-0.002815247,-0.009916306,-0.001842499,0,
00:00.6,-0.002809525,-0.009899139,-0.001916885,0,
00:00.6,-0.00276947,-0.009836197,-0.001911163,0,
00:00.6,-0.002809525,-0.009859085,-0.001905441,0,
00:00.6,-0.002803802,-0.009859085,-0.001888275,0,
00:00.6,-0.002780914,-0.009847641,-0.001899719,0,
00:00.6,-0.00276947,-0.009887695,-0.001911163,0,
00:00.6,-0.002786636,-0.009876251,-0.001968384,0,
00:00.6,-0.002849579,-0.00992775,-0.001893997,0,
00:00.6,-0.002815247,-0.009870529,-0.001848221,0,
00:00.6,-0.00279808,-0.009881973,-0.001871109,0,
00:00.6,-0.002786636,-0.009904861,-0.001842499,0,
00:00.6,-0.002820969,-0.009881973,-0.001911163,0,
00:00.6,-0.002855301,-0.00992775,-0.001934052,0,
00:00.6,-0.002826691,-0.009893417,-0.001934052,0,
00:00.6,-0.002786636,-0.009847641,-0.001831055,0,
00:00.6,-0.002786636,-0.009916306,-0.001882553,0,
00:00.6,-0.002838135,-0.009910583,-0.001934052,0,
00:00.6,-0.002815247,-0.009916306,-0.001945496,0,
00:00.6,-0.00279808,-0.009893417,-0.001899719,0,
00:00.7,-0.002792358,-0.009841919,-0.001882553,0,
00:00.7,-0.002775192,-0.009824753,-0.001911163,0,
00:00.7,-0.00279808,-0.009916306,-0.001876831,0,
00:00.7,-0.002820969,-0.00995636,-0.00195694,0,
00:00.7,-0.002826691,-0.009893417,-0.002019882,0,
00:00.7,-0.00279808,-0.009859085,-0.00195694,0,
00:00.7,-0.002803802,-0.009853363,-0.001859665,0,
00:00.7,-0.00279808,-0.009887695,-0.001825333,0,
00:00.7,-0.002803802,-0.009881973,-0.001893997,0,
00:00.7,-0.002820969,-0.009893417,-0.001928329,0,
00:00.7,-0.002780914,-0.009841919,-0.001974106,0,
00:00.7,-0.002792358,-0.009853363,-0.001916885,0,
00:00.7,-0.002752304,-0.009881973,-0.001911163,0,
00:00.7,-0.002803802,-0.009904861,-0.001911163,0,
00:00.7,-0.002838135,-0.00992775,-0.001911163,0,
00:00.7,-0.00279808,-0.009876251,-0.001916885,0,
00:00.7,-0.002792358,-0.009887695,-0.001922607,0,
00:00.7,-0.002786636,-0.009830475,-0.001939774,0,
00:00.7,-0.002758026,-0.009801865,-0.002008438,0,
00:00.7,-0.002803802,-0.009876251,-0.001974106,0,
00:00.7,-0.002803802,-0.00992775,-0.001876831,0,
00:00.7,-0.002832413,-0.00992775,-0.001871109,0,
00:00.7,-0.002803802,-0.009893417,-0.001922607,0,
00:00.7,-0.002780914,-0.009847641,-0.00195694,0,
00:00.7,-0.002786636,-0.009853363,-0.001951218,0,
00:00.8,-0.002786636,-0.009864807,-0.001882553,0,
00:00.8,-0.002775192,-0.009859085,-0.001888275,0,
00:00.8,-0.002809525,-0.009916306,-0.001928329,0,
00:00.8,-0.002803802,-0.009893417,-0.002002716,0,
00:00.8,-0.002786636,-0.009881973,-0.002031326,0,
00:00.8,-0.002780914,-0.009876251,-0.00195694,0,
00:00.8,-0.002786636,-0.009853363,-0.001853943,0,
00:00.8,-0.002815247,-0.009899139,-0.001859665,0,
00:00.8,-0.002820969,-0.00992775,-0.001882553,0,
00:00.8,-0.002803802,-0.009893417,-0.001899719,0,
00:00.8,-0.00276947,-0.009853363,-0.001934052,0,
00:00.8,-0.002758026,-0.009870529,-0.001905441,0,
00:00.8,-0.00276947,-0.009859085,-0.001928329,0,
00:00.8,-0.002758026,-0.009841919,-0.001939774,0,
00:00.8,-0.002786636,-0.009881973,-0.001974106,0,
00:00.8,-0.002815247,-0.009859085,-0.00195694,0,
00:00.8,-0.002815247,-0.009864807,-0.001968384,0,
00:00.8,-0.002809525,-0.009899139,-0.001888275,0,
00:00.8,-0.002786636,-0.009876251,-0.001962662,0,
00:00.8,-0.002677917,-0.009698868,-0.002002716,0,
00:00.8,-0.002786636,-0.009887695,-0.001893997,0,
00:00.8,-0.002901077,-0.010007858,-0.001905441,0,
00:00.8,-0.002838135,-0.009933472,-0.001899719,0,
00:00.8,-0.00279808,-0.009881973,-0.001871109,0,
00:00.8,-0.002792358,-0.009893417,-0.001899719,0,
00:00.9,-0.002792358,-0.009893417,-0.001939774,0,
00:00.9,-0.002780914,-0.009881973,-0.001968384,0,
00:00.9,-0.00274086,-0.009859085,-0.001893997,0,
00:00.9,-0.002763748,-0.009876251,-0.001922607,0,
00:00.9,-0.002826691,-0.009899139,-0.001928329,0,
00:00.9,-0.00279808,-0.009847641,-0.001939774,0,
00:00.9,-0.002763748,-0.009841919,-0.001928329,0,
00:00.9,-0.002786636,-0.009910583,-0.001916885,0,
00:00.9,-0.002815247,-0.009887695,-0.001939774,0,
00:00.9,-0.00279808,-0.009859085,-0.001911163,0,
00:00.9,-0.002786636,-0.009893417,-0.001945496,0,
00:00.9,-0.002792358,-0.009881973,-0.00195694,0,
00:00.9,-0.002809525,-0.009876251,-0.00195694,0,
00:00.9,-0.002763748,-0.009819031,-0.001928329,0,
00:00.9,-0.00276947,-0.009841919,-0.001928329,0,
00:00.9,-0.002803802,-0.009899139,-0.001911163,0,
00:00.9,-0.002820969,-0.009944916,-0.001939774,0,
00:00.9,-0.002780914,-0.009904861,-0.002025604,0,
00:00.9,-0.002786636,-0.009859085,-0.001882553,0,
00:00.9,-0.002775192,-0.009847641,-0.001934052,0,
00:00.9,-0.002815247,-0.009904861,-0.001934052,0,
00:00.9,-0.002809525,-0.009899139,-0.001871109,0,
00:00.9,-0.002775192,-0.009876251,-0.001911163,0,
00:00.9,-0.002775192,-0.009881973,-0.001934052,0,
00:00.9,-0.002780914,-0.009881973,-0.001922607,0,
00:01.0,-0.002752304,-0.009876251,-0.001911163,0,
00:01.0,-0.002775192,-0.009864807,-0.001928329,0,
00:01.0,-0.002763748,-0.009836197,-0.00195694,0,
00:01.0,-0.00276947,-0.009876251,-0.001945496,0,
00:01.0,-0.002803802,-0.009887695,-0.001962662,0,
00:01.0,-0.002809525,-0.009887695,-0.001951218,0,
00:01.0,-0.002780914,-0.009847641,-0.001979828,0,
00:01.0,-0.00276947,-0.009824753,-0.00195694,0,
00:01.0,-0.002832413,-0.009939194,-0.001871109,0,
00:01.0,-0.002803802,-0.009904861,-0.001911163,0,
00:01.0,-0.002809525,-0.009910583,-0.001979828,0,
00:01.0,-0.002803802,-0.009887695,-0.001939774,0,
00:00:01,-0.00276947,-0.009859085,-0.001893997,0,
00:01.0,-0.002758026,-0.009830475,-0.001905441,0,
00:01.0,-0.00279808,-0.009881973,-0.001939774,0,
00:01.0,-0.00279808,-0.009893417,-0.001934052,0,
00:01.0,-0.002775192,-0.009841919,-0.00195694,0,
00:01.0,-0.002780914,-0.009864807,-0.001916885,0,
00:01.0,-0.002780914,-0.009853363,-0.001928329,0,
00:01.0,-0.00279808,-0.009853363,-0.001888275,0,
00:01.0,-0.00274086,-0.009887695,-0.001945496,0,
00:01.0,-0.002775192,-0.009893417,-0.001979828,0,
00:01.0,-0.002786636,-0.009899139,-0.001899719,0,
00:01.0,-0.002752304,-0.009807587,-0.001888275,0,
00:01.0,-0.00276947,-0.009801865,-0.001905441,0,
00:01.1,-0.002815247,-0.00992775,-0.001945496,0,
00:01.1,-0.002746582,-0.009893417,-0.001979828,0,
00:01.1,-0.002729416,-0.009756088,-0.001991272,0,
00:01.1,-0.002792358,-0.009910583,-0.001893997,0,
00:01.1,-0.002815247,-0.009916306,-0.00198555,0,
00:01.1,-0.002775192,-0.009876251,-0.001974106,0,
00:01.1,-0.002758026,-0.009864807,-0.001905441,0,
00:01.1,-0.00279808,-0.009864807,-0.001853943,0,
00:01.1,-0.002809525,-0.009893417,-0.001893997,0,
00:01.1,-0.002815247,-0.009904861,-0.001928329,0,
00:01.1,-0.002803802,-0.009899139,-0.001916885,0,
00:01.1,-0.002792358,-0.009876251,-0.001905441,0,
00:01.1,-0.002786636,-0.009853363,-0.001934052,0,
00:01.1,-0.002775192,-0.009859085,-0.001962662,0,
00:01.1,-0.002763748,-0.009859085,-0.001979828,0,
00:01.1,-0.002735138,-0.009847641,-0.001939774,0,
00:01.1,-0.002735138,-0.009819031,-0.001939774,0,
00:01.1,-0.00276947,-0.009853363,-0.00195694,0,
00:01.1,-0.002786636,-0.009893417,-0.001911163,0,
00:01.1,-0.002803802,-0.009864807,-0.001951218,0,
00:01.1,-0.002780914,-0.009870529,-0.001916885,0,
00:01.1,-0.002735138,-0.009830475,-0.002019882,0,
00:01.1,-0.00279808,-0.009887695,-0.001939774,0,
00:01.1,-0.002820969,-0.009887695,-0.001939774,0,
00:01.1,-0.002758026,-0.009887695,-0.001945496,0,
00:01.2,-0.00276947,-0.009881973,-0.001951218,0,
00:01.2,-0.002786636,-0.009859085,-0.001991272,0,
00:01.2,-0.002786636,-0.009847641,-0.001899719,0,
00:01.2,-0.002775192,-0.009847641,-0.00195694,0,
00:01.2,-0.002758026,-0.009847641,-0.00198555,0,
00:01.2,-0.002758026,-0.009876251,-0.00201416,0,
00:01.2,-0.002803802,-0.009922028,-0.001991272,0,
00:01.2,-0.002815247,-0.009864807,-0.001928329,0,
00:01.2,-0.002792358,-0.009870529,-0.001939774,0,
00:01.2,-0.002780914,-0.009881973,-0.001934052,0,
00:01.2,-0.002763748,-0.009841919,-0.001905441,0,
00:01.2,-0.002780914,-0.009870529,-0.001968384,0,
00:01.2,-0.002809525,-0.009859085,-0.001962662,0,
00:01.2,-0.002763748,-0.009841919,-0.001968384,0,
00:01.2,-0.002775192,-0.009824753,-0.001996994,0,
00:01.2,-0.002758026,-0.009813309,-0.00198555,0,
00:01.2,-0.002758026,-0.009881973,-0.001968384,0,
00:01.2,-0.002752304,-0.009836197,-0.00195694,0,
00:01.2,-0.002752304,-0.009836197,-0.001951218,0,
00:01.2,-0.002809525,-0.009950638,-0.001979828,0,
00:01.2,-0.002758026,-0.009899139,-0.001939774,0,
00:01.2,-0.002729416,-0.009904861,-0.001893997,0,
00:01.2,-0.002752304,-0.009801865,-0.001991272,0,
00:01.2,-0.002752304,-0.009778976,-0.001991272,0,
00:01.2,-0.002809525,-0.009950638,-0.001945496,0,
00:01.3,-0.00279808,-0.009904861,-0.001962662,0,
00:01.3,-0.002763748,-0.009887695,-0.001962662,0,
00:01.3,-0.002758026,-0.009870529,-0.002025604,0,
00:01.3,-0.00276947,-0.009824753,-0.001996994,0,
00:01.3,-0.002752304,-0.009859085,-0.001951218,0,
00:01.3,-0.00276947,-0.009893417,-0.001934052,0,
00:01.3,-0.002758026,-0.009859085,-0.001974106,0,
00:01.3,-0.002803802,-0.009859085,-0.001974106,0,
00:01.3,-0.002792358,-0.009864807,-0.001979828,0,
00:01.3,-0.002775192,-0.009870529,-0.001996994,0,
00:01.3,-0.002763748,-0.009847641,-0.002025604,0,
00:01.3,-0.002786636,-0.009881973,-0.001968384,0,
00:01.3,-0.002775192,-0.009859085,-0.002025604,0,
00:01.3,-0.00276947,-0.009853363,-0.001979828,0,
00:01.3,-0.002775192,-0.009870529,-0.001945496,0,
00:01.3,-0.002735138,-0.009836197,-0.002002716,0,
00:01.3,-0.00271225,-0.009790421,-0.002019882,0,
00:01.3,-0.002792358,-0.009916306,-0.001974106,0,
00:01.3,-0.002786636,-0.009939194,-0.001939774,0,
00:01.3,-0.002758026,-0.009876251,-0.002002716,0,
00:01.3,-0.002758026,-0.009859085,-0.001979828,0,
00:01.3,-0.00276947,-0.009859085,-0.001974106,0,
00:01.3,-0.002763748,-0.009841919,-0.00198555,0,
00:01.3,-0.002763748,-0.009870529,-0.001968384,0,
00:01.3,-0.002729416,-0.009859085,-0.002002716,0,
00:01.4,-0.002735138,-0.009887695,-0.001962662,0,
00:01.4,-0.002803802,-0.009916306,-0.001991272,0,
00:01.4,-0.002809525,-0.009847641,-0.002008438,0,
00:01.4,-0.00276947,-0.009841919,-0.001979828,0,
00:01.4,-0.002763748,-0.009859085,-0.00198555,0,
00:01.4,-0.002763748,-0.009859085,-0.00198555,0,
00:01.4,-0.002763748,-0.009859085,-0.002002716,0,
00:01.4,-0.002763748,-0.009864807,-0.001991272,0,
00:01.4,-0.002752304,-0.009853363,-0.002037048,0,
00:01.4,-0.002700806,-0.009807587,-0.002054214,0,
00:01.4,-0.00274086,-0.009836197,-0.001962662,0,
00:01.4,-0.002792358,-0.009916306,-0.001951218,0,
00:01.4,-0.002786636,-0.009887695,-0.001991272,0,
00:01.4,-0.002786636,-0.009881973,-0.00201416,0,
00:01.4,-0.002780914,-0.009887695,-0.001962662,0,
00:01.4,-0.00276947,-0.009876251,-0.001962662,0,
00:01.4,-0.002763748,-0.009870529,-0.001979828,0,
00:01.4,-0.002758026,-0.009876251,-0.00201416,0,
00:01.4,-0.002752304,-0.009893417,-0.002059937,0,
00:01.4,-0.002752304,-0.009864807,-0.00201416,0,
00:01.4,-0.002706528,-0.009750366,-0.00201416,0,
00:01.4,-0.00276947,-0.009813309,-0.002037048,0,
00:01.4,-0.002826691,-0.009933472,-0.001968384,0,
