Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00.5,0.001516342,-0.000955582,0.003833771,0,
00:00.5,0.001504898,-0.000984192,0.003828049,0,
00:00.5,0.00148201,-0.000961304,0.003833771,0,
00:00.5,0.0014534,-0.00094986,0.003873825,0,
00:00.6,0.001487732,-0.000944138,0.003868103,0,
00:00.6,0.001504898,-0.000938416,0.003833771,0,
00:00.6,0.001470566,-0.000961304,0.003896713,0,
00:00.6,0.00151062,-0.000961304,0.003856659,0,
00:00.6,0.001499176,-0.000972748,0.003787994,0,
00:00.6,0.001493454,-0.000989914,0.003828049,0,
00:00.6,0.001499176,-0.000972748,0.003828049,0,
00:00.6,0.001476288,-0.000967026,0.003850937,0,
00:00.6,0.001476288,-0.000944138,0.003845215,0,
00:00.6,0.001516342,-0.000938416,0.003828049,0,
00:00.6,0.001476288,-0.000967026,0.003862381,0,
00:00.6,0.001476288,-0.00097847,0.003816605,0,
00:00.6,0.001527786,-0.00094986,0.003816605,0,
00:00.6,0.00151062,-0.000972748,0.003828049,0,
00:00.6,0.001504898,-0.00097847,0.003833771,0,
00:00.6,0.00151062,-0.000955582,0.003822327,0,
00:00.6,0.001464844,-0.00094986,0.003856659,0,
00:00.6,0.001407623,-0.000972748,0.003879547,0,
00:00.6,0.001499176,-0.000989914,0.003850937,0,
00:00.6,0.001476288,-0.000972748,0.003873825,0,
00:00.6,0.001562119,-0.000938416,0.003822327,0,
00:00.6,0.001556396,-0.000955582,0.003816605,0,
00:00.6,0.00148201,-0.000955582,0.003810883,0,
00:00.6,0.001447678,-0.000961304,0.003873825,0,
00:00.6,0.001544952,-0.000944138,0.003810883,0,
00:00.7,0.001516342,-0.000932693,0.003810883,0,
00:00.7,0.001504898,-0.000938416,0.003828049,0,
00:00.7,0.001487732,-0.000961304,0.003828049,0,
00:00.7,0.001476288,-0.000961304,0.003845215,0,
00:00.7,0.001527786,-0.000972748,0.003845215,0,
00:00.7,0.00151062,-0.000972748,0.003816605,0,
00:00.7,0.00148201,-0.000955582,0.003839493,0,
00:00.7,0.0014534,-0.000955582,0.003856659,0,
00:00.7,0.001499176,-0.000967026,0.003839493,0,
00:00.7,0.00153923,-0.000944138,0.003787994,0,
00:00.7,0.001504898,-0.000967026,0.003816605,0,
00:00.7,0.001504898,-0.000989914,0.003833771,0,
00:00.7,0.001499176,-0.000955582,0.003822327,0,
00:00.7,0.00151062,-0.000944138,0.003833771,0,
00:00.7,0.001476288,-0.000989914,0.003868103,0,
00:00.7,0.001487732,-0.000984192,0.003862381,0,
00:00.7,0.001499176,-0.000944138,0.003816605,0,
00:00.7,0.001522064,-0.000921249,0.003799438,0,
00:00.7,0.001384735,-0.000955582,0.003862381,0,
00:00.7,0.001436234,-0.000984192,0.003885269,0,
00:00.7,0.001596451,-0.000944138,0.003805161,0,
00:00.7,0.001544952,-0.000926971,0.003793716,0,
00:00.7,0.00153923,-0.000944138,0.003805161,0,
00:00.7,0.001522064,-0.000955582,0.003828049,0,
00:00.7,0.00151062,-0.000955582,0.003816605,0,
00:00.8,0.001516342,-0.00094986,0.003822327,0,
00:00.8,0.001522064,-0.000961304,0.003839493,0,
00:00.8,0.001487732,-0.00094986,0.003822327,0,
00:00.8,0.001476288,-0.000955582,0.003833771,0,
00:00.8,0.001487732,-0.000989914,0.003833771,0,
00:00.8,0.001493454,-0.000984192,0.003822327,0,
00:00.8,0.001447678,-0.001001358,0.003850937,0,
00:00.8,0.001516342,-0.000926971,0.003799438,0,
00:00.8,0.0014534,-0.000944138,0.003902435,0,
00:00.8,0.001407623,-0.000955582,0.003931046,0,
00:00.8,0.001567841,-0.000932693,0.003787994,0,
00:00.8,0.001596451,-0.000944138,0.003736496,0,
00:00.8,0.001527786,-0.000944138,0.003787994,0,
00:00.8,0.001504898,-0.000944138,0.003799438,0,
00:00.8,0.001487732,-0.000961304,0.003828049,0,
00:00.8,0.001516342,-0.000955582,0.003845215,0,
00:00.8,0.001516342,-0.000955582,0.003828049,0,
00:00.8,0.00151062,-0.00094986,0.003810883,0,
00:00.8,0.001499176,-0.000955582,0.003833771,0,
00:00.8,0.00148201,-0.000961304,0.003850937,0,
00:00.8,0.001504898,-0.000955582,0.003822327,0,
00:00.8,0.001493454,-0.00094986,0.003805161,0,
00:00.8,0.001493454,-0.00100708,0.003822327,0,
00:00.8,0.001487732,-0.000984192,0.003845215,0,
00:00.8,0.001464844,-0.00094986,0.003845215,0,
00:00.9,0.001499176,-0.000926971,0.003816605,0,
00:00.9,0.001487732,-0.000938416,0.003862381,0,
00:00.9,0.001527786,-0.000932693,0.003833771,0,
00:00.9,0.001527786,-0.00094986,0.00377655,0,
00:00.9,0.00148201,-0.000995636,0.003822327,0,
00:00.9,0.001527786,-0.000961304,0.003787994,0,
00:00.9,0.001522064,-0.000921249,0.003782272,0,
00:00.9,0.001516342,-0.000955582,0.003810883,0,
00:00.9,0.001504898,-0.000961304,0.003839493,0,
00:00.9,0.001493454,-0.000932693,0.003828049,0,
00:00.9,0.001441956,-0.000961304,0.003873825,0,
00:00.9,0.0014534,-0.000972748,0.003856659,0,
00:00.9,0.001550674,-0.00094986,0.003770828,0,
00:00.9,0.001544952,-0.000955582,0.003782272,0,
00:00.9,0.001516342,-0.000944138,0.003805161,0,
00:00.9,0.00151062,-0.000938416,0.003822327,0,
00:00.9,0.001533508,-0.000961304,0.003816605,0,
00:00.9,0.001493454,-0.00094986,0.003839493,0,
00:00.9,0.001464844,-0.000961304,0.003879547,0,
00:00.9,0.001516342,-0.000955582,0.003833771,0,
00:00.9,0.001533508,-0.000944138,0.003793716,0,
00:00.9,0.00151062,-0.000972748,0.003805161,0,
00:00.9,0.001499176,-0.000984192,0.003810883,0,
00:00.9,0.001499176,-0.000961304,0.003810883,0,
00:00.9,0.001487732,-0.000938416,0.003839493,0,
00:01.0,0.001441956,-0.000926971,0.003856659,0,
00:01.0,0.001464844,-0.000944138,0.003862381,0,
00:01.0,0.001573563,-0.000944138,0.003770828,0,
00:01.0,0.001556396,-0.000955582,0.003765106,0,
00:01.0,0.001504898,-0.00094986,0.003810883,0,
00:01.0,0.001493454,-0.000944138,0.003822327,0,
00:01.0,0.001504898,-0.000967026,0.003828049,0,
00:01.0,0.001487732,-0.000972748,0.003816605,0,
00:01.0,0.001527786,-0.000944138,0.003828049,0,
00:01.0,0.001487732,-0.000926971,0.003856659,0,
00:01.0,0.001516342,-0.000961304,0.003873825,0,
00:01.0,0.00151062,-0.000955582,0.003822327,0,
00:00:01,0.001504898,-0.00094986,0.003799438,0,
00:01.0,0.001499176,-0.000955582,0.003810883,0,
00:01.0,0.001441956,-0.000961304,0.003845215,0,
00:01.0,0.001424789,-0.000967026,0.003856659,0,
00:01.0,0.001596451,-0.000926971,0.003765106,0,
00:01.0,0.00153923,-0.000938416,0.003793716,0,
00:01.0,0.001522064,-0.000967026,0.003816605,0,
00:01.0,0.001493454,-0.00097847,0.003828049,0,
00:01.0,0.001470566,-0.00094986,0.003828049,0,
00:01.0,0.001459122,-0.000926971,0.003873825,0,
00:01.0,0.00151062,-0.00094986,0.003862381,0,
00:01.0,0.001556396,-0.000955582,0.003759384,0,
00:01.0,0.00151062,-0.000961304,0.003793716,0,
00:01.1,0.00148201,-0.000967026,0.003833771,0,
00:01.1,0.001504898,-0.000955582,0.003816605,0,
00:01.1,0.001516342,-0.000967026,0.003805161,0,
00:01.1,0.001504898,-0.000938416,0.003810883,0,
00:01.1,0.001504898,-0.000944138,0.003839493,0,
00:01.1,0.001504898,-0.00094986,0.003810883,0,
00:01.1,0.001522064,-0.000944138,0.003810883,0,
00:01.1,0.001476288,-0.000972748,0.003828049,0,
00:01.1,0.001401901,-0.000967026,0.003879547,0,
00:01.1,0.001556396,-0.000961304,0.003856659,0,
00:01.1,0.001562119,-0.000932693,0.00377655,0,
00:01.1,0.001459122,-0.000961304,0.003810883,0,
00:01.1,0.001441956,-0.000961304,0.003850937,0,
00:01.1,0.00151062,-0.000932693,0.003845215,0,
00:01.1,0.001585007,-0.000944138,0.003787994,0,
00:01.1,0.001516342,-0.000967026,0.00377655,0,
00:01.1,0.001493454,-0.000984192,0.003828049,0,
00:01.1,0.001470566,-0.000955582,0.003810883,0,
00:01.1,0.001424789,-0.00094986,0.003862381,0,
00:01.1,0.001550674,-0.000938416,0.003793716,0,
00:01.1,0.001550674,-0.000955582,0.003782272,0,
00:01.1,0.001516342,-0.000955582,0.003799438,0,
00:01.1,0.001504898,-0.000932693,0.003816605,0,
00:01.1,0.00151062,-0.000938416,0.003816605,0,
00:01.1,0.001522064,-0.000955582,0.003816605,0,
00:01.2,0.001527786,-0.000972748,0.003816605,0,
00:01.2,0.001504898,-0.000961304,0.003816605,0,
00:01.2,0.00148201,-0.000967026,0.003822327,0,
00:01.2,0.001499176,-0.000955582,0.003816605,0,
00:01.2,0.00151062,-0.00094986,0.003799438,0,
00:01.2,0.001516342,-0.000944138,0.003810883,0,
00:01.2,0.001441956,-0.000972748,0.003879547,0,
00:01.2,0.001436234,-0.000955582,0.003902435,0,
00:01.2,0.001527786,-0.000938416,0.003793716,0,
00:01.2,0.001567841,-0.000932693,0.003753662,0,
00:01.2,0.00153923,-0.000932693,0.003787994,0,
00:01.2,0.001464844,-0.000984192,0.003845215,0,
00:01.2,0.001499176,-0.001018524,0.003822327,0,
00:01.2,0.001533508,-0.00100708,0.003765106,0,
00:01.2,0.001493454,-0.000961304,0.003793716,0,
00:01.2,0.001504898,-0.000909805,0.003850937,0,
00:01.2,0.001522064,-0.000926971,0.003850937,0,
00:01.2,0.001556396,-0.000932693,0.003759384,0,
00:01.2,0.001522064,-0.000944138,0.003787994,0,
00:01.2,0.001476288,-0.000961304,0.003810883,0,
00:01.2,0.001487732,-0.000989914,0.003805161,0,
00:01.2,0.00153923,-0.000984192,0.003793716,0,
00:01.2,0.00153923,-0.000921249,0.003805161,0,
00:01.2,0.001522064,-0.000915527,0.003799438,0,
00:01.2,0.001499176,-0.000944138,0.003816605,0,
00:01.3,0.001516342,-0.00097847,0.003850937,0,
00:01.3,0.001493454,-0.000972748,0.00377655,0,
00:01.3,0.001447678,-0.000972748,0.003822327,0,
00:01.3,0.001413345,-0.00097847,0.003868103,0,
00:01.3,0.00153923,-0.00094986,0.003810883,0,
00:01.3,0.001550674,-0.000938416,0.003765106,0,
00:01.3,0.001487732,-0.00094986,0.003839493,0,
00:01.3,0.001533508,-0.000938416,0.003839493,0,
00:01.3,0.001562119,-0.00094986,0.003765106,0,
00:01.3,0.001522064,-0.000967026,0.003770828,0,
00:01.3,0.00151062,-0.000972748,0.003782272,0,
00:01.3,0.001516342,-0.000972748,0.003793716,0,
00:01.3,0.001487732,-0.000938416,0.003810883,0,
00:01.3,0.0014534,-0.000967026,0.003828049,0,
00:01.3,0.001504898,-0.000972748,0.003822327,0,
00:01.3,0.001556396,-0.000932693,0.003787994,0,
00:01.3,0.001533508,-0.000932693,0.003782272,0,
00:01.3,0.001527786,-0.000932693,0.003793716,0,
00:01.3,0.001493454,-0.00094986,0.003833771,0,
00:01.3,0.001476288,-0.000995636,0.003850937,0,
00:01.3,0.001476288,-0.00100708,0.003822327,0,
00:01.3,0.001493454,-0.000972748,0.003765106,0,
00:01.3,0.001499176,-0.00094986,0.003782272,0,
00:01.3,0.00153923,-0.000926971,0.003765106,0,
00:01.3,0.001562119,-0.000944138,0.003793716,0,
00:01.4,0.001504898,-0.000972748,0.003833771,0,
00:01.4,0.0014534,-0.00094986,0.003833771,0,
00:01.4,0.001522064,-0.000955582,0.003816605,0,
00:01.4,0.001544952,-0.00094986,0.003753662,0,
00:01.4,0.001516342,-0.00094986,0.003770828,0,
00:01.4,0.00151062,-0.000972748,0.003787994,0,
00:01.4,0.001522064,-0.000967026,0.003799438,0,
00:01.4,0.001504898,-0.00097847,0.003793716,0,
00:01.4,0.001493454,-0.000961304,0.003805161,0,
00:01.4,0.001504898,-0.000944138,0.003805161,0,
00:01.4,0.001493454,-0.00094986,0.003828049,0,
00:01.4,0.001544952,-0.000944138,0.003839493,0,
00:01.4,0.00153923,-0.000972748,0.003770828,0,
00:01.4,0.001499176,-0.00097847,0.003759384,0,
00:01.4,0.001504898,-0.00094986,0.003793716,0,
00:01.4,0.0014534,-0.000961304,0.003839493,0,
00:01.4,0.001504898,-0.000955582,0.003816605,0,
00:01.4,0.001556396,-0.00094986,0.00374794,0,
00:01.4,0.001487732,-0.00097847,0.003810883,0,
00:01.4,0.001493454,-0.000955582,0.003845215,0,
00:01.4,0.001550674,-0.000932693,0.003770828,0,
00:01.4,0.00153923,-0.00094986,0.003759384,0,
00:01.4,0.001476288,-0.000967026,0.003805161,0,
00:01.4,0.0014534,-0.00094986,0.003868103,0,
00:01.4,0.001562119,-0.000967026,0.003828049,0,
00:01.5,0.001550674,-0.000989914,0.00374794,0,
00:01.5,0.001504898,-0.000972748,0.003765106,0,
00:01.5,0.001476288,-0.000955582,0.003799438,0,
00:01.5,0.001527786,-0.000938416,0.003822327,0,
00:01.5,0.001550674,-0.00094986,0.003787994,0,
00:01.5,0.001499176,-0.000995636,0.003787994,0,
00:01.5,0.001493454,-0.000967026,0.003799438,0,
00:01.5,0.001464844,-0.00094986,0.003822327,0,
00:01.5,0.00151062,-0.000967026,0.003805161,0,
00:01.5,0.001567841,-0.000932693,0.003765106,0,
00:01.5,0.001522064,-0.00094986,0.003810883,0,
00:01.5,0.00151062,-0.000967026,0.003782272,0,
00:01.5,0.00151062,-0.000989914,0.003770828,0,
00:01.5,0.001504898,-0.000967026,0.003793716,0,
00:01.5,0.001493454,-0.000944138,0.003822327,0,
00:01.5,0.001447678,-0.00094986,0.003862381,0,
00:01.5,0.001516342,-0.000967026,0.003845215,0,
00:01.5,0.001556396,-0.000955582,0.003782272,0,
00:01.5,0.001470566,-0.000944138,0.003765106,0,
00:01.5,0.001493454,-0.000967026,0.003810883,0,
00:01.5,0.001579285,-0.00094986,0.003782272,0,
00:01.5,0.001550674,-0.000938416,0.003759384,0,
00:01.5,0.001504898,-0.000967026,0.003782272,0,
00:01.5,0.00151062,-0.00097847,0.003787994,0,
00:01.5,0.001487732,-0.000989914,0.003810883,0,
00:01.6,0.001516342,-0.000972748,0.003828049,0,
00:01.6,0.00153923,-0.00094986,0.003782272,0,
00:01.6,0.001522064,-0.000932693,0.003787994,0,
00:01.6,0.001470566,-0.000961304,0.003816605,0,
00:01.6,0.001516342,-0.000967026,0.003810883,0,
00:01.6,0.001562119,-0.000961304,0.00377655,0,
00:01.6,0.001527786,-0.000967026,0.00377655,0,
00:01.6,0.001504898,-0.000961304,0.003799438,0,
00:01.6,0.00148201,-0.00097847,0.003845215,0,
00:01.6,0.001476288,-0.00097847,0.003833771,0,
00:01.6,0.001516342,-0.000967026,0.003799438,0,
00:01.6,0.001544952,-0.000944138,0.00374794,0,
00:01.6,0.00148201,-0.000944138,0.003828049,0,
00:01.6,0.00148201,-0.000961304,0.003896713,0,
00:01.6,0.001550674,-0.000955582,0.003753662,0,
00:01.6,0.001562119,-0.000967026,0.00374794,0,
00:01.6,0.001527786,-0.000961304,0.003770828,0,
00:01.6,0.001527786,-0.000955582,0.00377655,0,
00:01.6,0.001516342,-0.000961304,0.003793716,0,
00:01.6,0.001499176,-0.000961304,0.003805161,0,
00:01.6,0.001379013,-0.000989914,0.003890991,0,
00:01.6,0.001476288,-0.00100708,0.00394249,0,
00:01.6,0.001642227,-0.000944138,0.003707886,0,
00:01.6,0.001556396,-0.000932693,0.00371933,0,
00:01.6,0.00153923,-0.000938416,0.003770828,0,
00:01.7,0.001533508,-0.00094986,0.00377655,0,
00:01.7,0.001516342,-0.000989914,0.003787994,0,
00:01.7,0.001487732,-0.000995636,0.003810883,0,
00:01.7,0.00148201,-0.000961304,0.003822327,0,
00:01.7,0.001550674,-0.000938416,0.003793716,0,
00:01.7,0.001556396,-0.00094986,0.003793716,0,
00:01.7,0.00153923,-0.000967026,0.003805161,0,
00:01.7,0.001504898,-0.000972748,0.003787994,0,
00:01.7,0.00148201,-0.00094986,0.003805161,0,
00:01.7,0.001430511,-0.000938416,0.003850937,0,
00:01.7,0.001436234,-0.000984192,0.003873825,0,
00:01.7,0.001596451,-0.00097847,0.003730774,0,
00:01.7,0.001556396,-0.000961304,0.003753662,0,
00:01.7,0.00153923,-0.000944138,0.003782272,0,
00:01.7,0.001487732,-0.000944138,0.003816605,0,
00:01.7,0.001493454,-0.000961304,0.003885269,0,
00:01.7,0.001585007,-0.00094986,0.003782272,0,
00:01.7,0.001533508,-0.000955582,0.003730774,0,
00:01.7,0.001533508,-0.000932693,0.003765106,0,
00:01.7,0.001522064,-0.000944138,0.00377655,0,
00:01.7,0.001516342,-0.00097847,0.003793716,0,
00:01.7,0.001499176,-0.001001358,0.003787994,0,
00:01.7,0.001493454,-0.001018524,0.003799438,0,
00:01.7,0.001522064,-0.000967026,0.003799438,0,
00:01.7,0.001516342,-0.000938416,0.003793716,0,
00:01.8,0.001533508,-0.000944138,0.003793716,0,
00:01.8,0.001527786,-0.000932693,0.003822327,0,
00:01.8,0.001390457,-0.00094986,0.003839493,0,
00:01.8,0.00148201,-0.000995636,0.003879547,0,
00:01.8,0.001585007,-0.000955582,0.003742218,0,
00:01.8,0.00151062,-0.000944138,0.003765106,0,
00:01.8,0.001544952,-0.000938416,0.003782272,0,
00:01.8,0.001527786,-0.00094986,0.003782272,0,
00:01.8,0.001499176,-0.000967026,0.003839493,0,
00:01.8,0.001504898,-0.000989914,0.003850937,0,
00:01.8,0.00153923,-0.000989914,0.003730774,0,
00:01.8,0.00153923,-0.000944138,0.003753662,0,
00:01.8,0.001522064,-0.000938416,0.003782272,0,
00:01.8,0.001522064,-0.000955582,0.003787994,0,
00:01.8,0.001516342,-0.000961304,0.003793716,0,
00:01.8,0.001544952,-0.00094986,0.003805161,0,
00:01.8,0.001516342,-0.000972748,0.003805161,0,
00:01.8,0.001476288,-0.000961304,0.003810883,0,
00:01.8,0.001459122,-0.000995636,0.003839493,0,
00:01.8,0.001556396,-0.000961304,0.00377655,0,
00:01.8,0.001522064,-0.000961304,0.003770828,0,
00:01.8,0.001544952,-0.00094986,0.003782272,0,
00:01.8,0.001522064,-0.000932693,0.003787994,0,
00:01.8,0.001487732,-0.000955582,0.003828049,0,
00:01.8,0.001544952,-0.000955582,0.003816605,0,
00:01.9,0.00151062,-0.00094986,0.003770828,0,
00:01.9,0.001470566,-0.00097847,0.003816605,0,
00:01.9,0.001550674,-0.000967026,0.003822327,0,
00:01.9,0.001522064,-0.000972748,0.00377655,0,
00:01.9,0.001544952,-0.000961304,0.003759384,0,
00:01.9,0.001499176,-0.00094986,0.003787994,0,
00:01.9,0.001470566,-0.000955582,0.003810883,0,
00:01.9,0.001499176,-0.000967026,0.003816605,0,
00:01.9,0.001544952,-0.000972748,0.003770828,0,
00:01.9,0.001527786,-0.000995636,0.003753662,0,
00:01.9,0.001499176,-0.000972748,0.003787994,0,
00:01.9,0.001459122,-0.00094986,0.003845215,0,
00:01.9,0.001470566,-0.000967026,0.003845215,0,
00:01.9,0.001556396,-0.000972748,0.003782272,0,
00:01.9,0.001550674,-0.000972748,0.003736496,0,
00:01.9,0.001522064,-0.00097847,0.003765106,0,
00:01.9,0.001516342,-0.000955582,0.00377655,0,
00:01.9,0.001522064,-0.000944138,0.003782272,0,
00:01.9,0.0014534,-0.000944138,0.003839493,0,
00:01.9,0.001470566,-0.00097847,0.003845215,0,
00:01.9,0.001550674,-0.000984192,0.003725052,0,
00:01.9,0.001527786,-0.00097847,0.003753662,0,
00:01.9,0.001504898,-0.000938416,0.003793716,0,
00:01.9,0.00148201,-0.000932693,0.003822327,0,
00:01.9,0.00153923,-0.000944138,0.003816605,0,
00:02.0,0.00151062,-0.000961304,0.003787994,0,
00:02.0,0.001522064,-0.00097847,0.003770828,0,
00:02.0,0.001522064,-0.000967026,0.003770828,0,
00:02.0,0.001516342,-0.000961304,0.003765106,0,
00:02.0,0.00148201,-0.000967026,0.003787994,0,
00:02.0,0.001487732,-0.000989914,0.003810883,0,
00:02.0,0.001522064,-0.000989914,0.003787994,0,
00:02.0,0.001522064,-0.000967026,0.003782272,0,
00:02.0,0.001487732,-0.000972748,0.003810883,0,
