Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00.6,-0.002552032,0.000961304,-0.000583649,0,
00:00.6,-0.002540588,0.000955582,-0.000583649,0,
00:00.6,-0.002500534,0.000984192,-0.000577927,0,
00:00.6,-0.002580643,0.000961304,-0.000566483,0,
00:00.6,-0.002620697,0.000938416,-0.000566483,0,
00:00.6,-0.002603531,0.000932693,-0.000577927,0,
00:00.6,-0.002586365,0.000955582,-0.000577927,0,
00:00.6,-0.002609253,0.000955582,-0.000583649,0,
00:00.6,-0.002540588,0.000972748,-0.000583649,0,
00:00.6,-0.002580643,0.000961304,-0.000583649,0,
00:00.6,-0.002574921,0.000972748,-0.000577927,0,
00:00.6,-0.002563477,0.000967026,-0.000600815,0,
00:00.6,-0.002523422,0.000972748,-0.000572205,0,
00:00.6,-0.002586365,0.000972748,-0.00056076,0,
00:00.6,-0.002563477,0.000989914,-0.000577927,0,
00:00.6,-0.002540588,0.000989914,-0.000589371,0,
00:00.6,-0.002637863,0.000932693,-0.000589371,0,
00:00.6,-0.002660751,0.000926971,-0.000589371,0,
00:00.6,-0.00254631,0.000955582,-0.000583649,0,
00:00.6,-0.002454758,0.00100708,-0.000600815,0,
00:00.6,-0.002540588,0.000989914,-0.000595093,0,
00:00.6,-0.002626419,0.00094986,-0.000566483,0,
00:00.6,-0.002655029,0.000921249,-0.000549316,0,
00:00.6,-0.002609253,0.000921249,-0.000572205,0,
00:00.7,-0.0025177,0.000989914,-0.000577927,0,
00:00.7,-0.002586365,0.000967026,-0.000589371,0,
00:00.7,-0.002569199,0.000955582,-0.000589371,0,
00:00.7,-0.00254631,0.00097847,-0.000595093,0,
00:00.7,-0.002580643,0.000972748,-0.000589371,0,
00:00.7,-0.002529144,0.00097847,-0.000600815,0,
00:00.7,-0.002609253,0.000944138,-0.000572205,0,
00:00.7,-0.002597809,0.000955582,-0.000566483,0,
00:00.7,-0.002540588,0.00097847,-0.000589371,0,
00:00.7,-0.002540588,0.000989914,-0.000589371,0,
00:00.7,-0.002574921,0.00097847,-0.000595093,0,
00:00.7,-0.002557755,0.00097847,-0.000577927,0,
00:00.7,-0.002643585,0.000921249,-0.000572205,0,
00:00.7,-0.002597809,0.00094986,-0.000583649,0,
00:00.7,-0.002592087,0.000961304,-0.000589371,0,
00:00.7,-0.002569199,0.00094986,-0.000583649,0,
00:00.7,-0.002534866,0.000967026,-0.000583649,0,
00:00.7,-0.002563477,0.000984192,-0.000566483,0,
00:00.7,-0.002574921,0.000967026,-0.00056076,0,
00:00.7,-0.002620697,0.000938416,-0.000577927,0,
00:00.7,-0.002569199,0.00094986,-0.000577927,0,
00:00.7,-0.002506256,0.000995636,-0.000577927,0,
00:00.7,-0.002569199,0.000955582,-0.000577927,0,
00:00.7,-0.002557755,0.000972748,-0.000566483,0,
00:00.7,-0.002597809,0.000967026,-0.000566483,0,
00:00.8,-0.002632141,0.000926971,-0.000595093,0,
00:00.8,-0.002609253,0.000955582,-0.00056076,0,
00:00.8,-0.002529144,0.000995636,-0.000572205,0,
00:00.8,-0.00246048,0.001024246,-0.000583649,0,
00:00.8,-0.002557755,0.000955582,-0.000577927,0,
00:00.8,-0.002666473,0.000909805,-0.000566483,0,
00:00.8,-0.00268364,0.000921249,-0.000572205,0,
00:00.8,-0.002603531,0.000955582,-0.000577927,0,
00:00.8,-0.0025177,0.00097847,-0.000572205,0,
00:00.8,-0.002534866,0.000984192,-0.000589371,0,
00:00.8,-0.002592087,0.00094986,-0.000577927,0,
00:00.8,-0.002574921,0.000961304,-0.000566483,0,
00:00.8,-0.002637863,0.000938416,-0.000589371,0,
00:00.8,-0.002586365,0.000955582,-0.000583649,0,
00:00.8,-0.002500534,0.000995636,-0.000577927,0,
00:00.8,-0.002540588,0.000972748,-0.000577927,0,
00:00.8,-0.002609253,0.000932693,-0.000589371,0,
00:00.8,-0.002574921,0.000955582,-0.000583649,0,
00:00.8,-0.002586365,0.000944138,-0.000572205,0,
00:00.8,-0.002597809,0.000938416,-0.00056076,0,
00:00.8,-0.002597809,0.000961304,-0.000572205,0,
00:00.8,-0.002592087,0.000967026,-0.000589371,0,
00:00.8,-0.002563477,0.000989914,-0.000600815,0,
00:00.8,-0.002552032,0.000995636,-0.000583649,0,
00:00.8,-0.002626419,0.000938416,-0.000566483,0,
00:00.9,-0.002569199,0.00094986,-0.000577927,0,
00:00.9,-0.002603531,0.000938416,-0.000583649,0,
00:00.9,-0.002574921,0.000944138,-0.000583649,0,
00:00.9,-0.002540588,0.00097847,-0.000577927,0,
00:00.9,-0.002580643,0.000984192,-0.000577927,0,
00:00.9,-0.002592087,0.000955582,-0.000583649,0,
00:00.9,-0.002597809,0.000944138,-0.000595093,0,
00:00.9,-0.002586365,0.000961304,-0.000595093,0,
00:00.9,-0.002552032,0.000972748,-0.000589371,0,
00:00.9,-0.002586365,0.000955582,-0.000600815,0,
00:00.9,-0.002563477,0.000961304,-0.000589371,0,
00:00.9,-0.002574921,0.000961304,-0.000577927,0,
00:00.9,-0.002603531,0.000938416,-0.000589371,0,
00:00.9,-0.002557755,0.00097847,-0.000595093,0,
00:00.9,-0.002586365,0.000972748,-0.000612259,0,
00:00.9,-0.002597809,0.000944138,-0.000606537,0,
00:00.9,-0.002569199,0.000955582,-0.000595093,0,
00:00.9,-0.002569199,0.000972748,-0.000589371,0,
00:00.9,-0.002597809,0.000944138,-0.000589371,0,
00:00.9,-0.002603531,0.000944138,-0.000600815,0,
00:00.9,-0.002580643,0.000955582,-0.000589371,0,
00:00.9,-0.002540588,0.000984192,-0.000595093,0,
00:00.9,-0.002557755,0.000967026,-0.000600815,0,
00:00.9,-0.002574921,0.00094986,-0.000595093,0,
00:00.9,-0.002597809,0.000921249,-0.000595093,0,
00:01.0,-0.002597809,0.000938416,-0.000595093,0,
00:01.0,-0.002614975,0.00094986,-0.000606537,0,
00:01.0,-0.002592087,0.000955582,-0.000595093,0,
00:01.0,-0.002574921,0.000955582,-0.000600815,0,
00:01.0,-0.002586365,0.000944138,-0.000606537,0,
00:01.0,-0.002580643,0.000955582,-0.000612259,0,
00:01.0,-0.002563477,0.000972748,-0.000629425,0,
00:01.0,-0.002563477,0.000967026,-0.000617981,0,
00:01.0,-0.002580643,0.000955582,-0.000583649,0,
00:01.0,-0.002563477,0.000961304,-0.000595093,0,
00:01.0,-0.002540588,0.000955582,-0.000600815,0,
00:01.0,-0.00254631,0.000972748,-0.000617981,0,
00:00:01,-0.002597809,0.000932693,-0.000612259,0,
00:01.0,-0.002569199,0.000955582,-0.000595093,0,
00:01.0,-0.002552032,0.000967026,-0.000606537,0,
00:01.0,-0.002620697,0.000944138,-0.000583649,0,
00:01.0,-0.002637863,0.000932693,-0.000600815,0,
00:01.0,-0.002540588,0.00097847,-0.000612259,0,
00:01.0,-0.002563477,0.000961304,-0.000606537,0,
00:01.0,-0.002603531,0.000932693,-0.000606537,0,
00:01.0,-0.002569199,0.00094986,-0.000589371,0,
00:01.0,-0.002523422,0.000972748,-0.000606537,0,
00:01.0,-0.002523422,0.000995636,-0.000583649,0,
00:01.0,-0.002626419,0.00094986,-0.000583649,0,
00:01.0,-0.002620697,0.000944138,-0.000595093,0,
00:01.1,-0.002620697,0.000944138,-0.000595093,0,
00:01.1,-0.002614975,0.000944138,-0.000606537,0,
00:01.1,-0.002552032,0.000967026,-0.000606537,0,
00:01.1,-0.002523422,0.000972748,-0.000600815,0,
00:01.1,-0.002614975,0.00094986,-0.000595093,0,
00:01.1,-0.002609253,0.000944138,-0.000600815,0,
00:01.1,-0.002569199,0.000972748,-0.000606537,0,
00:01.1,-0.002529144,0.000989914,-0.000617981,0,
00:01.1,-0.00254631,0.00097847,-0.000606537,0,
00:01.1,-0.002569199,0.000961304,-0.000600815,0,
00:01.1,-0.002637863,0.000909805,-0.000595093,0,
00:01.1,-0.002592087,0.00094986,-0.000606537,0,
00:01.1,-0.002586365,0.000967026,-0.000612259,0,
00:01.1,-0.002609253,0.000955582,-0.000612259,0,
00:01.1,-0.002574921,0.000961304,-0.000617981,0,
00:01.1,-0.002574921,0.000955582,-0.000606537,0,
00:01.1,-0.002603531,0.00094986,-0.000600815,0,
00:01.1,-0.002552032,0.000984192,-0.000606537,0,
00:01.1,-0.002563477,0.000961304,-0.000606537,0,
00:01.1,-0.002592087,0.000938416,-0.000617981,0,
00:01.1,-0.002592087,0.000955582,-0.000606537,0,
00:01.1,-0.002580643,0.000955582,-0.000612259,0,
00:01.1,-0.002597809,0.000944138,-0.000606537,0,
00:01.1,-0.002574921,0.000955582,-0.000612259,0,
00:01.1,-0.002540588,0.000972748,-0.000606537,0,
00:01.2,-0.002580643,0.000967026,-0.000623703,0,
00:01.2,-0.002557755,0.00097847,-0.000629425,0,
00:01.2,-0.002586365,0.000972748,-0.000595093,0,
00:01.2,-0.002592087,0.000961304,-0.000600815,0,
00:01.2,-0.002620697,0.000938416,-0.000600815,0,
00:01.2,-0.002609253,0.000955582,-0.000606537,0,
00:01.2,-0.002569199,0.000972748,-0.000612259,0,
00:01.2,-0.002534866,0.000967026,-0.000606537,0,
00:01.2,-0.002580643,0.00094986,-0.000606537,0,
00:01.2,-0.002563477,0.000961304,-0.000600815,0,
00:01.2,-0.00254631,0.000967026,-0.000595093,0,
00:01.2,-0.002557755,0.000961304,-0.000612259,0,
00:01.2,-0.002540588,0.00097847,-0.000600815,0,
00:01.2,-0.002609253,0.00094986,-0.000606537,0,
00:01.2,-0.002626419,0.000932693,-0.000612259,0,
00:01.2,-0.002563477,0.000955582,-0.000589371,0,
00:01.2,-0.002563477,0.000972748,-0.000583649,0,
00:01.2,-0.002643585,0.000932693,-0.000595093,0,
00:01.2,-0.002574921,0.000972748,-0.000606537,0,
00:01.2,-0.002483368,0.000995636,-0.000606537,0,
00:01.2,-0.002620697,0.000932693,-0.000612259,0,
00:01.2,-0.002649307,0.000932693,-0.000612259,0,
00:01.2,-0.002592087,0.00094986,-0.000600815,0,
00:01.2,-0.002574921,0.00094986,-0.000589371,0,
00:01.2,-0.002586365,0.00094986,-0.000606537,0,
00:01.3,-0.002592087,0.000967026,-0.000612259,0,
00:01.3,-0.002574921,0.000961304,-0.000612259,0,
00:01.3,-0.002586365,0.000961304,-0.000612259,0,
00:01.3,-0.002534866,0.00097847,-0.000606537,0,
00:01.3,-0.002569199,0.000972748,-0.000589371,0,
00:01.3,-0.002603531,0.000938416,-0.000595093,0,
00:01.3,-0.002574921,0.000955582,-0.000612259,0,
00:01.3,-0.002597809,0.00094986,-0.000606537,0,
00:01.3,-0.00254631,0.000967026,-0.000583649,0,
00:01.3,-0.002580643,0.000961304,-0.000612259,0,
00:01.3,-0.002597809,0.000961304,-0.000606537,0,
00:01.3,-0.002597809,0.000961304,-0.000612259,0,
00:01.3,-0.002574921,0.000972748,-0.000606537,0,
00:01.3,-0.002557755,0.00097847,-0.000595093,0,
00:01.3,-0.002540588,0.000972748,-0.000606537,0,
00:01.3,-0.002523422,0.00097847,-0.000612259,0,
00:01.3,-0.002574921,0.000955582,-0.000595093,0,
00:01.3,-0.002614975,0.000938416,-0.000577927,0,
00:01.3,-0.002592087,0.000932693,-0.000583649,0,
00:01.3,-0.002563477,0.000984192,-0.000589371,0,
00:01.3,-0.0025177,0.001001358,-0.000589371,0,
00:01.3,-0.002586365,0.00094986,-0.000589371,0,
00:01.3,-0.002540588,0.000972748,-0.000589371,0,
00:01.3,-0.002574921,0.000955582,-0.000600815,0,
00:01.3,-0.002597809,0.000955582,-0.000583649,0,
00:01.4,-0.002563477,0.000955582,-0.000589371,0,
00:01.4,-0.002592087,0.000961304,-0.000595093,0,
00:01.4,-0.002632141,0.000938416,-0.000600815,0,
00:01.4,-0.002614975,0.00094986,-0.000595093,0,
00:01.4,-0.002614975,0.00094986,-0.000595093,0,
00:01.4,-0.002603531,0.000955582,-0.000600815,0,
00:01.4,-0.002580643,0.000961304,-0.000612259,0,
00:01.4,-0.002580643,0.000961304,-0.000595093,0,
00:01.4,-0.002540588,0.000989914,-0.000583649,0,
00:01.4,-0.002483368,0.000989914,-0.000606537,0,
00:01.4,-0.002523422,0.000984192,-0.000612259,0,
00:01.4,-0.002574921,0.000961304,-0.000589371,0,
00:01.4,-0.002614975,0.000938416,-0.000566483,0,
00:01.4,-0.00254631,0.000972748,-0.000577927,0,
00:01.4,-0.002529144,0.000984192,-0.000595093,0,
00:01.4,-0.002471924,0.001018524,-0.000589371,0,
00:01.4,-0.002586365,0.000938416,-0.000583649,0,
00:01.4,-0.002637863,0.000921249,-0.000577927,0,
00:01.4,-0.002557755,0.000972748,-0.000583649,0,
00:01.4,-0.00254631,0.000972748,-0.000595093,0,
00:01.4,-0.002592087,0.000972748,-0.000595093,0,
00:01.4,-0.002643585,0.000938416,-0.000583649,0,
00:01.4,-0.002700806,0.000892639,-0.000577927,0,
00:01.4,-0.002666473,0.000932693,-0.000577927,0,
00:01.4,-0.002614975,0.000961304,-0.000589371,0,
00:01.5,-0.00254631,0.000967026,-0.000600815,0,
00:01.5,-0.002534866,0.00097847,-0.000595093,0,
00:01.5,-0.002540588,0.000989914,-0.000583649,0,
00:01.5,-0.002580643,0.000955582,-0.000595093,0,
00:01.5,-0.002609253,0.000938416,-0.000589371,0,
00:01.5,-0.002569199,0.000961304,-0.000589371,0,
00:01.5,-0.002552032,0.000989914,-0.000583649,0,
00:01.5,-0.002563477,0.000967026,-0.000577927,0,
00:01.5,-0.002534866,0.000984192,-0.000572205,0,
00:01.5,-0.002552032,0.00097847,-0.000583649,0,
00:01.5,-0.002609253,0.000932693,-0.000572205,0,
00:01.5,-0.002592087,0.000955582,-0.000572205,0,
00:01.5,-0.002597809,0.000972748,-0.000566483,0,
00:01.5,-0.002655029,0.000944138,-0.000555038,0,
00:01.5,-0.002597809,0.000955582,-0.000572205,0,
00:01.5,-0.002557755,0.00097847,-0.000583649,0,
00:01.5,-0.002511978,0.001001358,-0.000566483,0,
00:01.5,-0.002574921,0.000984192,-0.000566483,0,
00:01.5,-0.002603531,0.000944138,-0.000566483,0,
00:01.5,-0.002597809,0.000932693,-0.000566483,0,
00:01.5,-0.002609253,0.000944138,-0.000572205,0,
00:01.5,-0.002574921,0.000972748,-0.000555038,0,
00:01.5,-0.002569199,0.000989914,-0.00056076,0,
00:01.5,-0.002586365,0.000967026,-0.00056076,0,
00:01.5,-0.002563477,0.000955582,-0.000566483,0,
00:01.6,-0.002597809,0.000961304,-0.000555038,0,
00:01.6,-0.002529144,0.001001358,-0.000555038,0,
00:01.6,-0.002540588,0.000984192,-0.000566483,0,
00:01.6,-0.002620697,0.00094986,-0.000549316,0,
00:01.6,-0.002620697,0.000944138,-0.000537872,0,
00:01.6,-0.002597809,0.000972748,-0.000537872,0,
00:01.6,-0.002574921,0.00097847,-0.00056076,0,
00:01.6,-0.002592087,0.000961304,-0.000555038,0,
00:01.6,-0.002557755,0.000989914,-0.000543594,0,
00:01.6,-0.002540588,0.000989914,-0.000543594,0,
00:01.6,-0.002563477,0.000972748,-0.00053215,0,
00:01.6,-0.002574921,0.000984192,-0.000537872,0,
00:01.6,-0.002597809,0.000995636,-0.000537872,0,
00:01.6,-0.002580643,0.000984192,-0.000549316,0,
00:01.6,-0.002603531,0.000944138,-0.00053215,0,
00:01.6,-0.002626419,0.000938416,-0.00053215,0,
00:01.6,-0.002580643,0.000972748,-0.000526428,0,
00:01.6,-0.002592087,0.00097847,-0.000549316,0,
00:01.6,-0.002557755,0.000989914,-0.000526428,0,
00:01.6,-0.002569199,0.000972748,-0.000526428,0,
00:01.6,-0.002580643,0.000967026,-0.000537872,0,
00:01.6,-0.002609253,0.000961304,-0.000526428,0,
00:01.6,-0.002557755,0.00100708,-0.000520706,0,
00:01.6,-0.002534866,0.00100708,-0.000537872,0,
00:01.6,-0.002569199,0.000961304,-0.00053215,0,
00:01.7,-0.002609253,0.00094986,-0.00050354,0,
00:01.7,-0.002592087,0.000961304,-0.00050354,0,
00:01.7,-0.002557755,0.00097847,-0.000520706,0,
00:01.7,-0.002534866,0.001001358,-0.000526428,0,
00:01.7,-0.002557755,0.001012802,-0.000492096,0,
00:01.7,-0.002557755,0.000995636,-0.000497818,0,
00:01.7,-0.002643585,0.000938416,-0.000514984,0,
00:01.7,-0.002660751,0.000961304,-0.00050354,0,
00:01.7,-0.002580643,0.00097847,-0.000509262,0,
00:01.7,-0.002437592,0.00103569,-0.000509262,0,
00:01.7,-0.002603531,0.000989914,-0.000492096,0,
00:01.7,-0.002717972,0.000915527,-0.00050354,0,
00:01.7,-0.002637863,0.000944138,-0.000509262,0,
00:01.7,-0.002557755,0.000984192,-0.000537872,0,
00:01.7,-0.002586365,0.000972748,-0.000486374,0,
00:01.7,-0.002592087,0.00097847,-0.000480652,0,
00:01.7,-0.002614975,0.000972748,-0.000492096,0,
00:01.7,-0.002563477,0.000995636,-0.000492096,0,
00:01.7,-0.002563477,0.000972748,-0.000492096,0,
00:01.7,-0.002632141,0.000972748,-0.000486374,0,
00:01.7,-0.002592087,0.000984192,-0.00047493,0,
00:01.7,-0.002569199,0.000984192,-0.000480652,0,
00:01.7,-0.002597809,0.000984192,-0.000486374,0,
00:01.7,-0.002626419,0.000972748,-0.000480652,0,
00:01.7,-0.002580643,0.000967026,-0.000486374,0,
00:01.8,-0.002580643,0.000967026,-0.000469208,0,
00:01.8,-0.002569199,0.00097847,-0.000480652,0,
00:01.8,-0.002534866,0.000989914,-0.00047493,0,
00:01.8,-0.002569199,0.001001358,-0.00047493,0,
00:01.8,-0.002632141,0.000972748,-0.000486374,0,
00:01.8,-0.002592087,0.000984192,-0.00047493,0,
00:01.8,-0.002666473,0.000955582,-0.000480652,0,
00:01.8,-0.002603531,0.000989914,-0.00044632,0,
00:01.8,-0.0025177,0.001001358,-0.000440598,0,
00:01.8,-0.002597809,0.000967026,-0.000457764,0,
00:01.8,-0.002660751,0.000944138,-0.000452042,0,
00:01.8,-0.002592087,0.000989914,-0.000452042,0,
00:01.8,-0.002552032,0.00100708,-0.000469208,0,
00:01.8,-0.002540588,0.000995636,-0.000463486,0,
00:01.8,-0.002609253,0.000961304,-0.00044632,0,
00:01.8,-0.002649307,0.00094986,-0.00044632,0,
00:01.8,-0.002557755,0.000984192,-0.000440598,0,
00:01.8,-0.002603531,0.000989914,-0.000429153,0,
00:01.8,-0.002626419,0.00097847,-0.000434875,0,
00:01.8,-0.002586365,0.00097847,-0.000457764,0,
00:01.8,-0.002563477,0.000989914,-0.000434875,0,
00:01.8,-0.002569199,0.000984192,-0.000429153,0,
00:01.8,-0.002557755,0.00100708,-0.000429153,0,
00:01.8,-0.002569199,0.001012802,-0.000434875,0,
00:01.8,-0.002649307,0.000944138,-0.000423431,0,
00:01.9,-0.002603531,0.000972748,-0.000417709,0,
00:01.9,-0.002586365,0.000989914,-0.000423431,0,
00:01.9,-0.002563477,0.00100708,-0.000423431,0,
00:01.9,-0.002580643,0.001001358,-0.000429153,0,
00:01.9,-0.002620697,0.000972748,-0.000429153,0,
00:01.9,-0.002655029,0.000984192,-0.000423431,0,
00:01.9,-0.002552032,0.00100708,-0.000411987,0,
00:01.9,-0.002511978,0.00100708,-0.000429153,0,
00:01.9,-0.002586365,0.000995636,-0.000423431,0,
00:01.9,-0.002614975,0.000972748,-0.000406265,0,
00:01.9,-0.002637863,0.000944138,-0.000406265,0,
00:01.9,-0.002689362,0.000967026,-0.000411987,0,
00:01.9,-0.002649307,0.000989914,-0.000400543,0,
00:01.9,-0.002626419,0.00097847,-0.000394821,0,
00:01.9,-0.002534866,0.00100708,-0.000400543,0,
00:01.9,-0.002557755,0.000995636,-0.000400543,0,
