Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00.5,-0.003570557,0.002128601,-0.005378723,0,
00:00.5,-0.003541946,0.002134323,-0.005373001,0,
00:00.5,-0.003507614,0.002134323,-0.005361557,0,
00:00.5,-0.003587723,0.002122879,-0.005361557,0,
00:00.5,-0.003559113,0.002128601,-0.005350113,0,
00:00.5,-0.003553391,0.002128601,-0.005361557,0,
00:00.5,-0.003553391,0.002134323,-0.005367279,0,
00:00.5,-0.003530502,0.002140045,-0.005361557,0,
00:00.5,-0.003536224,0.002145767,-0.005367279,0,
00:00.5,-0.003559113,0.002128601,-0.005373001,0,
00:00.5,-0.003604889,0.002117157,-0.005373001,0,
00:00.5,-0.003530502,0.002151489,-0.005373001,0,
00:00.5,-0.003501892,0.002145767,-0.005378723,0,
00:00.5,-0.003513336,0.002140045,-0.005367279,0,
00:00.5,-0.003519058,0.002140045,-0.005367279,0,
00:00.5,-0.003559113,0.002122879,-0.005373001,0,
00:00.5,-0.003564835,0.002128601,-0.005378723,0,
00:00.5,-0.003547668,0.002151489,-0.005344391,0,
00:00.6,-0.003547668,0.002134323,-0.005361557,0,
00:00.6,-0.003553391,0.002128601,-0.005367279,0,
00:00.6,-0.003564835,0.002122879,-0.005367279,0,
00:00.6,-0.003587723,0.002134323,-0.005355835,0,
00:00.6,-0.003576279,0.002134323,-0.005355835,0,
00:00.6,-0.00352478,0.002140045,-0.005355835,0,
00:00.6,-0.003490448,0.002145767,-0.005355835,0,
00:00.6,-0.003473282,0.002151489,-0.005390167,0,
00:00.6,-0.003530502,0.002140045,-0.005367279,0,
00:00.6,-0.003656387,0.002122879,-0.005344391,0,
00:00.6,-0.003604889,0.002122879,-0.005350113,0,
00:00.6,-0.003570557,0.002134323,-0.005350113,0,
00:00.6,-0.003530502,0.002145767,-0.005355835,0,
00:00.6,-0.003507614,0.002145767,-0.005373001,0,
00:00.6,-0.003564835,0.002122879,-0.005373001,0,
00:00.6,-0.003541946,0.002134323,-0.005367279,0,
00:00.6,-0.003501892,0.002140045,-0.005361557,0,
00:00.6,-0.00352478,0.002145767,-0.005378723,0,
00:00.6,-0.003559113,0.002134323,-0.005367279,0,
00:00.6,-0.003587723,0.002122879,-0.005367279,0,
00:00.6,-0.003559113,0.002151489,-0.005350113,0,
00:00.6,-0.003530502,0.002145767,-0.005361557,0,
00:00.6,-0.003547668,0.002134323,-0.005367279,0,
00:00.6,-0.003541946,0.002140045,-0.005373001,0,
00:00.6,-0.003536224,0.002134323,-0.005367279,0,
00:00.7,-0.003530502,0.002140045,-0.005350113,0,
00:00.7,-0.003553391,0.002140045,-0.005355835,0,
00:00.7,-0.003564835,0.002140045,-0.005361557,0,
00:00.7,-0.003541946,0.002134323,-0.005361557,0,
00:00.7,-0.003559113,0.002128601,-0.005373001,0,
00:00.7,-0.003530502,0.002140045,-0.005367279,0,
00:00.7,-0.00352478,0.002145767,-0.005373001,0,
00:00.7,-0.003559113,0.002140045,-0.005367279,0,
00:00.7,-0.003610611,0.002117157,-0.005355835,0,
00:00.7,-0.003564835,0.002134323,-0.005378723,0,
00:00.7,-0.003519058,0.002151489,-0.005384445,0,
00:00.7,-0.003541946,0.002134323,-0.005355835,0,
00:00.7,-0.003541946,0.002128601,-0.005350113,0,
00:00.7,-0.003519058,0.002145767,-0.005344391,0,
00:00.7,-0.003541946,0.002140045,-0.005355835,0,
00:00.7,-0.003559113,0.002128601,-0.005361557,0,
00:00.7,-0.003587723,0.002122879,-0.005355835,0,
00:00.7,-0.003576279,0.002134323,-0.005361557,0,
00:00.7,-0.003587723,0.002122879,-0.005373001,0,
00:00.7,-0.003530502,0.002145767,-0.005373001,0,
00:00.7,-0.003513336,0.002151489,-0.005373001,0,
00:00.7,-0.003541946,0.002145767,-0.005384445,0,
00:00.7,-0.003490448,0.002157211,-0.005384445,0,
00:00.7,-0.003507614,0.002140045,-0.005361557,0,
00:00.7,-0.003547668,0.002145767,-0.005338669,0,
00:00.8,-0.003559113,0.002151489,-0.005332947,0,
00:00.8,-0.00352478,0.002145767,-0.005355835,0,
00:00.8,-0.003536224,0.002140045,-0.005367279,0,
00:00.8,-0.003553391,0.002140045,-0.005367279,0,
00:00.8,-0.003547668,0.002134323,-0.005361557,0,
00:00.8,-0.003547668,0.002134323,-0.005361557,0,
00:00.8,-0.003547668,0.002134323,-0.005367279,0,
00:00.8,-0.003564835,0.002122879,-0.005373001,0,
00:00.8,-0.003576279,0.002128601,-0.005373001,0,
00:00.8,-0.003616333,0.002122879,-0.005373001,0,
00:00.8,-0.003604889,0.002128601,-0.005373001,0,
00:00.8,-0.003622055,0.002134323,-0.005384445,0,
00:00.8,-0.003599167,0.002157211,-0.005390167,0,
00:00.8,-0.003387451,0.002197266,-0.005395889,0,
00:00.8,-0.003404617,0.002185822,-0.005413055,0,
00:00.8,-0.003456116,0.002157211,-0.005378723,0,
00:00.8,-0.00349617,0.002140045,-0.005327225,0,
00:00.8,-0.003570557,0.002117157,-0.005350113,0,
00:00.8,-0.003593445,0.002122879,-0.005321503,0,
00:00.8,-0.003553391,0.002134323,-0.005327225,0,
00:00.8,-0.003553391,0.002145767,-0.005355835,0,
00:00.8,-0.003553391,0.002140045,-0.005355835,0,
00:00.8,-0.00352478,0.002145767,-0.005350113,0,
00:00.8,-0.00352478,0.002145767,-0.005361557,0,
00:00.8,-0.003541946,0.002145767,-0.005373001,0,
00:00.9,-0.003547668,0.002140045,-0.005373001,0,
00:00.9,-0.003564835,0.002128601,-0.005373001,0,
00:00.9,-0.003570557,0.002128601,-0.005378723,0,
00:00.9,-0.003582001,0.002128601,-0.005378723,0,
00:00.9,-0.003627777,0.002122879,-0.005378723,0,
00:00.9,-0.003662109,0.002122879,-0.005378723,0,
00:00.9,-0.003593445,0.002145767,-0.005390167,0,
00:00.9,-0.003433228,0.002168655,-0.005395889,0,
00:00.9,-0.003398895,0.002185822,-0.005373001,0,
00:00.9,-0.003473282,0.002145767,-0.005384445,0,
00:00.9,-0.003547668,0.002145767,-0.005367279,0,
00:00.9,-0.003587723,0.002128601,-0.005355835,0,
00:00.9,-0.003547668,0.002145767,-0.005338669,0,
00:00.9,-0.003519058,0.002151489,-0.005344391,0,
00:00.9,-0.003536224,0.002151489,-0.005344391,0,
00:00.9,-0.003541946,0.002151489,-0.005361557,0,
00:00.9,-0.003547668,0.002145767,-0.005373001,0,
00:00.9,-0.003513336,0.002145767,-0.005378723,0,
00:00.9,-0.003519058,0.002140045,-0.005373001,0,
00:00.9,-0.003570557,0.002145767,-0.005367279,0,
00:00.9,-0.003576279,0.002134323,-0.005378723,0,
00:00.9,-0.003547668,0.002151489,-0.005373001,0,
00:00.9,-0.003541946,0.002157211,-0.005373001,0,
00:00.9,-0.00352478,0.002162933,-0.005384445,0,
00:00.9,-0.003530502,0.002134323,-0.005407333,0,
00:01.0,-0.003553391,0.002128601,-0.005367279,0,
00:01.0,-0.003564835,0.002140045,-0.005373001,0,
00:01.0,-0.003576279,0.002140045,-0.005367279,0,
00:01.0,-0.003547668,0.002157211,-0.005355835,0,
00:01.0,-0.003553391,0.002134323,-0.005384445,0,
00:01.0,-0.003519058,0.002145767,-0.005367279,0,
00:01.0,-0.003461838,0.002168655,-0.005378723,0,
00:01.0,-0.003547668,0.002145767,-0.005384445,0,
00:01.0,-0.003570557,0.002145767,-0.005367279,0,
00:01.0,-0.00352478,0.002151489,-0.005361557,0,
00:01.0,-0.003530502,0.002140045,-0.005378723,0,
00:01.0,-0.00352478,0.002145767,-0.005361557,0,
00:00:01,-0.003570557,0.002145767,-0.005367279,0,
00:01.0,-0.003541946,0.002145767,-0.005378723,0,
00:01.0,-0.003553391,0.002134323,-0.005367279,0,
00:01.0,-0.003541946,0.002140045,-0.005367279,0,
00:01.0,-0.00352478,0.002134323,-0.005378723,0,
00:01.0,-0.003587723,0.002128601,-0.005373001,0,
00:01.0,-0.003587723,0.002134323,-0.005367279,0,
00:01.0,-0.003530502,0.002157211,-0.005367279,0,
00:01.0,-0.003530502,0.002151489,-0.005378723,0,
00:01.0,-0.003507614,0.002140045,-0.005401611,0,
00:01.0,-0.003530502,0.002151489,-0.005378723,0,
00:01.0,-0.003570557,0.002145767,-0.005378723,0,
00:01.0,-0.00352478,0.002157211,-0.005384445,0,
00:01.1,-0.003530502,0.002140045,-0.005395889,0,
00:01.1,-0.003564835,0.002128601,-0.005361557,0,
00:01.1,-0.003530502,0.002157211,-0.005361557,0,
00:01.1,-0.00349617,0.002168655,-0.005378723,0,
00:01.1,-0.00352478,0.002145767,-0.005378723,0,
00:01.1,-0.003633499,0.002111435,-0.005378723,0,
00:01.1,-0.003582001,0.002134323,-0.005367279,0,
00:01.1,-0.00352478,0.002145767,-0.005367279,0,
00:01.1,-0.003513336,0.002145767,-0.005373001,0,
00:01.1,-0.003564835,0.002140045,-0.005373001,0,
00:01.1,-0.003559113,0.002140045,-0.005378723,0,
00:01.1,-0.003536224,0.002140045,-0.005378723,0,
00:01.1,-0.00349617,0.002145767,-0.005390167,0,
00:01.1,-0.003484726,0.002151489,-0.005395889,0,
00:01.1,-0.003593445,0.002128601,-0.005395889,0,
00:01.1,-0.003616333,0.002128601,-0.005384445,0,
00:01.1,-0.003490448,0.002145767,-0.005378723,0,
00:01.1,-0.003484726,0.002151489,-0.005384445,0,
00:01.1,-0.003564835,0.002140045,-0.005378723,0,
00:01.1,-0.003564835,0.002151489,-0.005378723,0,
00:01.1,-0.003559113,0.002134323,-0.005395889,0,
00:01.1,-0.00349617,0.002157211,-0.005367279,0,
00:01.1,-0.003519058,0.002151489,-0.005373001,0,
00:01.1,-0.003564835,0.002134323,-0.005384445,0,
00:01.1,-0.003576279,0.002128601,-0.005378723,0,
00:01.2,-0.003559113,0.002134323,-0.005384445,0,
00:01.2,-0.003541946,0.002151489,-0.005384445,0,
00:01.2,-0.003536224,0.002151489,-0.005378723,0,
00:01.2,-0.003570557,0.002134323,-0.005390167,0,
00:01.2,-0.003559113,0.002128601,-0.005395889,0,
00:01.2,-0.003519058,0.002157211,-0.005361557,0,
00:01.2,-0.003479004,0.002157211,-0.005390167,0,
00:01.2,-0.003541946,0.002145767,-0.005384445,0,
00:01.2,-0.003570557,0.002128601,-0.005378723,0,
00:01.2,-0.003519058,0.002151489,-0.005373001,0,
00:01.2,-0.003536224,0.002140045,-0.005373001,0,
00:01.2,-0.003536224,0.002145767,-0.005367279,0,
00:01.2,-0.003513336,0.002151489,-0.005384445,0,
00:01.2,-0.003519058,0.002145767,-0.005390167,0,
00:01.2,-0.003536224,0.002145767,-0.005378723,0,
00:01.2,-0.003582001,0.002128601,-0.005384445,0,
00:01.2,-0.003570557,0.002134323,-0.005395889,0,
00:01.2,-0.003519058,0.002145767,-0.005384445,0,
00:01.2,-0.003559113,0.002140045,-0.005378723,0,
00:01.2,-0.003599167,0.002128601,-0.005384445,0,
00:01.2,-0.003576279,0.002140045,-0.005384445,0,
00:01.2,-0.003484726,0.002151489,-0.005390167,0,
00:01.2,-0.003507614,0.002162933,-0.005390167,0,
00:01.2,-0.003519058,0.002151489,-0.005384445,0,
00:01.2,-0.003547668,0.002134323,-0.005384445,0,
00:01.3,-0.003564835,0.002134323,-0.005384445,0,
00:01.3,-0.003530502,0.002151489,-0.005373001,0,
00:01.3,-0.00352478,0.002157211,-0.005390167,0,
00:01.3,-0.003553391,0.002140045,-0.005390167,0,
00:01.3,-0.003519058,0.002134323,-0.005378723,0,
00:01.3,-0.003530502,0.002140045,-0.005378723,0,
00:01.3,-0.003519058,0.002145767,-0.005390167,0,
00:01.3,-0.00352478,0.002145767,-0.005395889,0,
00:01.3,-0.003536224,0.002145767,-0.005390167,0,
00:01.3,-0.003559113,0.002140045,-0.005390167,0,
00:01.3,-0.003559113,0.002134323,-0.005390167,0,
00:01.3,-0.003513336,0.002145767,-0.005390167,0,
00:01.3,-0.003541946,0.002134323,-0.005395889,0,
00:01.3,-0.00352478,0.002157211,-0.005390167,0,
00:01.3,-0.00352478,0.002157211,-0.005390167,0,
00:01.3,-0.003490448,0.002168655,-0.005395889,0,
00:01.3,-0.003547668,0.002140045,-0.005390167,0,
00:01.3,-0.003530502,0.002145767,-0.005390167,0,
00:01.3,-0.003519058,0.002145767,-0.005384445,0,
00:01.3,-0.003559113,0.002134323,-0.005373001,0,
00:01.3,-0.003553391,0.002140045,-0.005378723,0,
00:01.3,-0.003530502,0.002117157,-0.005378723,0,
00:01.3,-0.003519058,0.002134323,-0.005373001,0,
00:01.3,-0.003536224,0.002168655,-0.005367279,0,
00:01.3,-0.003507614,0.002157211,-0.005395889,0,
00:01.4,-0.003501892,0.002157211,-0.005378723,0,
00:01.4,-0.003547668,0.002145767,-0.005373001,0,
00:01.4,-0.003576279,0.002134323,-0.005384445,0,
00:01.4,-0.003564835,0.002134323,-0.005384445,0,
00:01.4,-0.003536224,0.002140045,-0.005390167,0,
00:01.4,-0.003501892,0.002151489,-0.005390167,0,
00:01.4,-0.003547668,0.002140045,-0.005395889,0,
00:01.4,-0.003559113,0.002134323,-0.005407333,0,
00:01.4,-0.003484726,0.002168655,-0.0054245,0,
00:01.4,-0.003484726,0.002162933,-0.005413055,0,
00:01.4,-0.003553391,0.002140045,-0.005373001,0,
00:01.4,-0.003507614,0.002145767,-0.005361557,0,
00:01.4,-0.003519058,0.002145767,-0.005378723,0,
00:01.4,-0.003513336,0.002151489,-0.005373001,0,
00:01.4,-0.003530502,0.002151489,-0.005384445,0,
00:01.4,-0.003536224,0.002140045,-0.005390167,0,
00:01.4,-0.00352478,0.002140045,-0.005395889,0,
00:01.4,-0.003530502,0.002140045,-0.005390167,0,
00:01.4,-0.003553391,0.002140045,-0.005395889,0,
00:01.4,-0.003553391,0.002134323,-0.005395889,0,
00:01.4,-0.003547668,0.002128601,-0.005395889,0,
00:01.4,-0.003547668,0.002157211,-0.005407333,0,
00:01.4,-0.003622055,0.002140045,-0.005418777,0,
00:01.4,-0.003553391,0.002157211,-0.005395889,0,
00:01.4,-0.003416061,0.002157211,-0.005401611,0,
00:01.5,-0.003507614,0.002151489,-0.005344391,0,
00:01.5,-0.003484726,0.002157211,-0.005350113,0,
00:01.5,-0.003513336,0.002157211,-0.005355835,0,
00:01.5,-0.00352478,0.002157211,-0.005361557,0,
00:01.5,-0.00352478,0.002151489,-0.005384445,0,
00:01.5,-0.003536224,0.002151489,-0.005384445,0,
00:01.5,-0.003530502,0.002145767,-0.005384445,0,
00:01.5,-0.003530502,0.002145767,-0.005390167,0,
00:01.5,-0.003536224,0.002151489,-0.005390167,0,
00:01.5,-0.003559113,0.002140045,-0.005395889,0,
00:01.5,-0.003576279,0.002128601,-0.005395889,0,
00:01.5,-0.003599167,0.002122879,-0.005395889,0,
00:01.5,-0.003656387,0.002122879,-0.005401611,0,
00:01.5,-0.003564835,0.002185822,-0.005401611,0,
00:01.5,-0.003364563,0.002191544,-0.005413055,0,
00:01.5,-0.003450394,0.002134323,-0.005413055,0,
00:01.5,-0.003501892,0.002151489,-0.005395889,0,
00:01.5,-0.003570557,0.002145767,-0.005384445,0,
00:01.5,-0.003547668,0.002151489,-0.005373001,0,
00:01.5,-0.003473282,0.002162933,-0.005350113,0,
00:01.5,-0.003513336,0.002151489,-0.005355835,0,
00:01.5,-0.00352478,0.002145767,-0.005373001,0,
00:01.5,-0.00352478,0.002151489,-0.005384445,0,
00:01.5,-0.003536224,0.002145767,-0.005390167,0,
00:01.5,-0.003553391,0.002145767,-0.005390167,0,
00:01.6,-0.003530502,0.002151489,-0.005395889,0,
00:01.6,-0.00349617,0.002151489,-0.005413055,0,
00:01.6,-0.003541946,0.002134323,-0.005395889,0,
00:01.6,-0.003553391,0.002140045,-0.005378723,0,
00:01.6,-0.003507614,0.002162933,-0.005384445,0,
00:01.6,-0.003501892,0.002162933,-0.005401611,0,
00:01.6,-0.00352478,0.002140045,-0.005395889,0,
00:01.6,-0.003582001,0.002145767,-0.005373001,0,
00:01.6,-0.003559113,0.002157211,-0.005361557,0,
00:01.6,-0.003519058,0.002151489,-0.005367279,0,
00:01.6,-0.003501892,0.002157211,-0.005373001,0,
00:01.6,-0.003576279,0.002140045,-0.005384445,0,
00:01.6,-0.003507614,0.002162933,-0.005390167,0,
00:01.6,-0.003501892,0.002162933,-0.005395889,0,
00:01.6,-0.003559113,0.002134323,-0.005395889,0,
00:01.6,-0.003553391,0.002134323,-0.005390167,0,
00:01.6,-0.003530502,0.002145767,-0.005384445,0,
00:01.6,-0.003501892,0.002151489,-0.005395889,0,
00:01.6,-0.003501892,0.002157211,-0.005401611,0,
00:01.6,-0.003519058,0.002151489,-0.005390167,0,
00:01.6,-0.003541946,0.002151489,-0.005378723,0,
00:01.6,-0.003519058,0.002168655,-0.005373001,0,
00:01.6,-0.003501892,0.002157211,-0.005384445,0,
00:01.6,-0.003536224,0.002151489,-0.005373001,0,
00:01.6,-0.003553391,0.002140045,-0.005373001,0,
00:01.7,-0.003547668,0.002140045,-0.005367279,0,
00:01.7,-0.003541946,0.002157211,-0.005378723,0,
00:01.7,-0.003541946,0.002145767,-0.005390167,0,
00:01.7,-0.003519058,0.002151489,-0.005395889,0,
00:01.7,-0.00352478,0.002157211,-0.005395889,0,
00:01.7,-0.003536224,0.002157211,-0.005384445,0,
00:01.7,-0.003559113,0.002145767,-0.005395889,0,
00:01.7,-0.003530502,0.002145767,-0.005395889,0,
00:01.7,-0.003541946,0.002151489,-0.005395889,0,
00:01.7,-0.003530502,0.002162933,-0.005390167,0,
00:01.7,-0.003553391,0.002140045,-0.005407333,0,
00:01.7,-0.003547668,0.002140045,-0.005390167,0,
00:01.7,-0.003490448,0.002162933,-0.005384445,0,
00:01.7,-0.003484726,0.002168655,-0.005384445,0,
00:01.7,-0.003541946,0.002140045,-0.005373001,0,
00:01.7,-0.003564835,0.002134323,-0.005361557,0,
00:01.7,-0.003507614,0.002151489,-0.005373001,0,
00:01.7,-0.003507614,0.002157211,-0.005390167,0,
00:01.7,-0.003519058,0.002157211,-0.005390167,0,
00:01.7,-0.003536224,0.002157211,-0.005378723,0,
00:01.7,-0.003507614,0.002157211,-0.005390167,0,
00:01.7,-0.003536224,0.002145767,-0.005390167,0,
00:01.7,-0.003530502,0.002145767,-0.005378723,0,
00:01.7,-0.003536224,0.002128601,-0.005390167,0,
00:01.7,-0.003541946,0.002151489,-0.005384445,0,
00:01.8,-0.003507614,0.002151489,-0.005378723,0,
00:01.8,-0.00352478,0.002157211,-0.005384445,0,
00:01.8,-0.003536224,0.002151489,-0.005390167,0,
00:01.8,-0.003570557,0.002140045,-0.005395889,0,
00:01.8,-0.003604889,0.002145767,-0.005378723,0,
00:01.8,-0.003541946,0.002151489,-0.005401611,0,
00:01.8,-0.003501892,0.002157211,-0.005390167,0,
00:01.8,-0.003501892,0.002157211,-0.005390167,0,
00:01.8,-0.003519058,0.002151489,-0.005395889,0,
00:01.8,-0.003553391,0.002140045,-0.005395889,0,
00:01.8,-0.003553391,0.002134323,-0.005378723,0,
00:01.8,-0.00349617,0.002145767,-0.005378723,0,
00:01.8,-0.003479004,0.002168655,-0.005373001,0,
00:01.8,-0.003484726,0.002168655,-0.005361557,0,
00:01.8,-0.003530502,0.002157211,-0.005378723,0,
00:01.8,-0.003530502,0.002162933,-0.005384445,0,
00:01.8,-0.003547668,0.002151489,-0.005390167,0,
00:01.8,-0.003536224,0.002151489,-0.005395889,0,
00:01.8,-0.003501892,0.002157211,-0.005407333,0,
00:01.8,-0.003536224,0.002145767,-0.005390167,0,
00:01.8,-0.003536224,0.002151489,-0.005390167,0,
00:01.8,-0.00352478,0.002162933,-0.005395889,0,
00:01.8,-0.00352478,0.002151489,-0.005395889,0,
00:01.8,-0.003513336,0.002157211,-0.005384445,0,
00:01.8,-0.00352478,0.002157211,-0.005401611,0,
00:01.9,-0.003553391,0.002145767,-0.005378723,0,
00:01.9,-0.003513336,0.002151489,-0.005361557,0,
00:01.9,-0.003479004,0.002157211,-0.005384445,0,
00:01.9,-0.003507614,0.002168655,-0.005378723,0,
00:01.9,-0.003570557,0.002145767,-0.005367279,0,
00:01.9,-0.003570557,0.002140045,-0.005373001,0,
00:01.9,-0.003547668,0.002140045,-0.005384445,0,
00:01.9,-0.003541946,0.002151489,-0.005378723,0,
00:01.9,-0.003484726,0.002174377,-0.005395889,0,
00:01.9,-0.003519058,0.002162933,-0.005395889,0,
00:01.9,-0.003553391,0.002134323,-0.005401611,0,
00:01.9,-0.003530502,0.002145767,-0.005384445,0,
00:01.9,-0.003530502,0.002151489,-0.005384445,0,
00:01.9,-0.00352478,0.002162933,-0.005384445,0,
00:01.9,-0.003507614,0.002151489,-0.005384445,0,
00:01.9,-0.003541946,0.002151489,-0.005384445,0,
